"Year","Month","Date","MEI","Phase"
1979,"DJ",1979-01-01,0.47,"Neutral Phase"
1980,"DJ",1980-01-01,0.42,"Neutral Phase"
1981,"DJ",1981-01-01,-0.28,"Neutral Phase"
1982,"DJ",1982-01-01,-0.44,"Neutral Phase"
1983,"DJ",1983-01-01,2.59,"Warm Phase/El Nino"
1984,"DJ",1984-01-01,-0.38,"Neutral Phase"
1985,"DJ",1985-01-01,-0.31,"Neutral Phase"
1986,"DJ",1986-01-01,-0.42,"Neutral Phase"
1987,"DJ",1987-01-01,0.96,"Warm Phase/El Nino"
1988,"DJ",1988-01-01,0.64,"Warm Phase/El Nino"
1989,"DJ",1989-01-01,-1.15,"Cool Phase/La Nina"
1990,"DJ",1990-01-01,0.13,"Neutral Phase"
1991,"DJ",1991-01-01,0.13,"Neutral Phase"
1992,"DJ",1992-01-01,1.63,"Warm Phase/El Nino"
1993,"DJ",1993-01-01,0.91,"Warm Phase/El Nino"
1994,"DJ",1994-01-01,0.06,"Neutral Phase"
1995,"DJ",1995-01-01,0.75,"Warm Phase/El Nino"
1996,"DJ",1996-01-01,-0.78,"Cool Phase/La Nina"
1997,"DJ",1997-01-01,-0.83,"Cool Phase/La Nina"
1998,"DJ",1998-01-01,2.24,"Warm Phase/El Nino"
1999,"DJ",1999-01-01,-1.17,"Cool Phase/La Nina"
2000,"DJ",2000-01-01,-1.22,"Cool Phase/La Nina"
2001,"DJ",2001-01-01,-0.81,"Cool Phase/La Nina"
2002,"DJ",2002-01-01,-0.07,"Neutral Phase"
2003,"DJ",2003-01-01,0.7,"Warm Phase/El Nino"
2004,"DJ",2004-01-01,0.12,"Neutral Phase"
2005,"DJ",2005-01-01,0.1,"Neutral Phase"
2006,"DJ",2006-01-01,-0.67,"Cool Phase/La Nina"
2007,"DJ",2007-01-01,0.61,"Warm Phase/El Nino"
2008,"DJ",2008-01-01,-1.12,"Cool Phase/La Nina"
2009,"DJ",2009-01-01,-0.99,"Cool Phase/La Nina"
2010,"DJ",2010-01-01,1.03,"Warm Phase/El Nino"
2011,"DJ",2011-01-01,-1.86,"Cool Phase/La Nina"
2012,"DJ",2012-01-01,-1.12,"Cool Phase/La Nina"
2013,"DJ",2013-01-01,0,"Neutral Phase"
2014,"DJ",2014-01-01,-0.49,"Neutral Phase"
2015,"DJ",2015-01-01,0.17,"Neutral Phase"
2016,"DJ",2016-01-01,1.9,"Warm Phase/El Nino"
2017,"DJ",2017-01-01,-0.23,"Neutral Phase"
2018,"DJ",2018-01-01,-0.76,"Cool Phase/La Nina"
2019,"DJ",2019-01-01,0.04,"Neutral Phase"
2020,"DJ",2020-01-01,0.22,"Neutral Phase"
2021,"DJ",2021-01-01,-1.18,"Cool Phase/La Nina"
2022,"DJ",2022-01-01,-1.06,"Cool Phase/La Nina"
2023,"DJ",2023-01-01,-1.11,"Cool Phase/La Nina"
1979,"JF",1979-02-01,0.27,"Neutral Phase"
1980,"JF",1980-02-01,0.3,"Neutral Phase"
1981,"JF",1981-02-01,-0.19,"Neutral Phase"
1982,"JF",1982-02-01,-0.61,"Cool Phase/La Nina"
1983,"JF",1983-02-01,2.73,"Warm Phase/El Nino"
1984,"JF",1984-02-01,-0.36,"Neutral Phase"
